age;workclass;fnlwgt;education;education_num;marital_status;occupation;relationship;race;sex;capital_gain;capital_loss;hours_per_week;native_country;income;dataset_origem
25;Private;308144;Bachelors;13;Never-married;Craft-repair;Not-in-family;White;Male;0;0;40;Mexico;<=50K;adult.csv
90;Private;52386;Some-college;10;Never-married;Other-service;Not-in-family;Asian-Pac-Islander;Male;0;0;35;United-States;<=50K;adult.csv
21;Private;250051;Some-college;10;Never-married;Prof-specialty;Own-child;White;Female;0;0;10;United-States;<=50K;adult.csv
20;Private;107658;Some-college;10;Never-married;Tech-support;Not-in-family;White;Female;0;0;10;United-States;<=50K;adult.csv
25;Private;195994;1st-4th;2;Never-married;Priv-house-serv;Not-in-family;White;Female;0;0;40;Guatemala;<=50K;adult.csv
21;Private;243368;Preschool;1;Never-married;Farming-fishing;Not-in-family;White;Male;0;0;50;Mexico;<=50K;adult.csv
46;Private;173243;HS-grad;9;Married-civ-spouse;Craft-repair;Husband;White;Male;0;0;40;United-States;<=50K;adult.csv
30;Private;144593;HS-grad;9;Never-married;Other-service;Not-in-family;Black;Male;0;0;40;;<=50K;adult.csv
19;Private;97261;HS-grad;9;Never-married;Farming-fishing;Not-in-family;White;Male;0;0;40;United-States;<=50K;adult.csv
19;Private;138153;Some-college;10;Never-married;Adm-clerical;Own-child;White;Female;0;0;10;United-States;<=50K;adult.csv
19;Private;146679;Some-college;10;Never-married;Exec-managerial;Own-child;Black;Male;0;0;30;United-States;<=50K;adult.csv
49;Private;31267;7th-8th;4;Married-civ-spouse;Craft-repair;Husband;White;Male;0;0;40;United-States;<=50K;adult.csv
25;Private;195994;1st-4th;2;Never-married;Priv-house-serv;Not-in-family;White;Female;0;0;40;Guatemala;<=50K;adult.csv
44;Private;367749;Bachelors;13;Never-married;Prof-specialty;Not-in-family;White;Female;0;0;45;Mexico;<=50K;adult.csv
49;Self-emp-not-inc;43479;Some-college;10;Married-civ-spouse;Craft-repair;Husband;White;Male;0;0;40;United-States;<=50K;adult.csv
23;Private;240137;5th-6th;3;Never-married;Handlers-cleaners;Not-in-family;White;Male;0;0;55;Mexico;<=50K;adult.csv
28;Private;274679;Masters;14;Never-married;Prof-specialty;Not-in-family;White;Male;0;0;50;United-States;<=50K;adult.csv
27;Private;255582;HS-grad;9;Never-married;Machine-op-inspct;Not-in-family;White;Female;0;0;40;United-States;<=50K;adult.csv
42;Private;204235;Some-college;10;Married-civ-spouse;Prof-specialty;Husband;White;Male;0;0;40;United-States;>50K;adult.csv
39;Private;30916;HS-grad;9;Married-civ-spouse;Craft-repair;Husband;White;Male;0;0;40;United-States;<=50K;adult.csv
38;Private;207202;HS-grad;9;Married-civ-spouse;Machine-op-inspct;Husband;White;Male;0;0;48;United-States;>50K;adult.csv
46;Private;133616;Some-college;10;Divorced;Adm-clerical;Unmarried;White;Female;0;0;40;United-States;<=50K;adult.csv
19;Private;251579;Some-college;10;Never-married;Other-service;Own-child;White;Male;0;0;14;United-States;<=50K;adult.csv
35;Private;379959;HS-grad;9;Divorced;Other-service;Not-in-family;White;Female;0;0;40;United-States;<=50K;adult.csv
